REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;46;женский;6;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;48;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;49;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4А;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;5;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;50;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;51;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;52;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;53;мужской;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;54;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;55;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;56;женский;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;57;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;57;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;58;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;59;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;60;женский;4;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;60;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;62;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;64;мужской;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;65;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;66;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;67;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;68;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;68;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;69;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6А;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;7;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;70;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;71;женский;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;71А;мужской;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;72;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;72А;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;73;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74А;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74Б;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;76;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;76;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;78;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;78;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;79;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;80;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;81;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;81;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;83;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;84;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;84;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;85;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;86;женский;1;;;
