REGION;CITY;addr:street;addr:housenumber;SEX;count;;
Челябинская;Челябинск;250-летия Челябинска;63;мужской;54;;
Челябинская;Челябинск;250-летия Челябинска;63А;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;67;женский;109;;
Челябинская;Челябинск;250-летия Челябинска;67;мужской;82;;
Челябинская;Челябинск;250-летия Челябинска;71;женский;54;;
Челябинская;Челябинск;250-летия Челябинска;71;мужской;35;;
Челябинская;Челябинск;250-летия Челябинска;71Б;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;73;женский;33;;
Челябинская;Челябинск;250-летия Челябинска;73;мужской;18;;
Челябинская;Челябинск;250-летия Челябинска;75;женский;75;;
Челябинская;Челябинск;250-летия Челябинска;75;мужской;46;;
Челябинская;Челябинск;250-летия Челябинска;75А;женский;48;;
Челябинская;Челябинск;250-летия Челябинска;75А;мужской;24;;
Челябинская;Челябинск;250-летия Челябинска;77;женский;21;;
Челябинская;Челябинск;250-летия Челябинска;77;мужской;10;;
Челябинская;Челябинск;250-летия Челябинска;77А;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;79;женский;27;;
Челябинская;Челябинск;250-летия Челябинска;79;мужской;14;;
Челябинская;Челябинск;250-летия Челябинска;8;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;85А;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;9;женский;456;;
Челябинская;Челябинск;250-летия Челябинска;9;мужской;327;;
Челябинская;Челябинск;250-летия Челябинска;9Ё;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;9А;женский;1;;
Челябинская;Челябинск;250-летия Челябинска;9Б;мужской;1;;
Челябинская;Челябинск;250-летия Челябинска;NAN;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1;женский;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1;мужской;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;10;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;10;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;100;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;102;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;102;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;107А;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;107А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;108;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;109;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;109;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;10А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;11;женский;6;;
